gene	drugs	question	answer	llm_answer	llm_drugs	precision	recall
G6PD	nitrofurantoin;primaquine;rasburicase;pegloticase;toluidine blue;tafenoquine;dapsone;methylene blue	Which drugs have actionable CPIC guidelines for G6PD? Please respond with nothing but a list of generic drug names delimited by ';'.	nitrofurantoin;primaquine;rasburicase;pegloticase;toluidine blue;tafenoquine;dapsone;methylene blue	Here is the list of drugs with actionable CPIC guidelines for G6PD:    rasburicase; methylene blue; primaquine; dapsone; sulfamethoxazole; sulfadiazine; sulfapyridine; nitrofurantoin; phenazopyridine	['here is the list of drugs with actionable cpic guidelines for g6pd:    rasburicase', 'methylene blue', 'primaquine', 'dapsone', 'sulfamethoxazole', 'sulfadiazine', 'sulfapyridine', 'nitrofurantoin', 'phenazopyridine']	0.4444444444444444	0.5
HLA-A	carbamazepine	Which drugs have actionable CPIC guidelines for HLA-A? Please respond with nothing but a list of generic drug names delimited by ';'.	carbamazepine	Here is the list of drugs with actionable CPIC guidelines for HLA-A:    Abacavir; Carbamazepine; Allopurinol	['here is the list of drugs with actionable cpic guidelines for hla-a:    abacavir', 'carbamazepine', 'allopurinol']	0.3333333333333333	1.0
HLA-B	allopurinol;oxcarbazepine;phenytoin;fosphenytoin;carbamazepine;abacavir	Which drugs have actionable CPIC guidelines for HLA-B? Please respond with nothing but a list of generic drug names delimited by ';'.	allopurinol;oxcarbazepine;phenytoin;fosphenytoin;carbamazepine;abacavir	Here is the list of drugs with actionable CPIC guidelines for HLA-B:    Allopurinol; Abacavir; Flucloxacillin	['here is the list of drugs with actionable cpic guidelines for hla-b:    allopurinol', 'abacavir', 'flucloxacillin']	0.3333333333333333	0.16666666666666666
IFNL3	peginterferon alfa-2b;peginterferon alfa-2a	Which drugs have actionable CPIC guidelines for IFNL3? Please respond with nothing but a list of generic drug names delimited by ';'.	peginterferon alfa-2b;peginterferon alfa-2a	Here is the list of drugs with actionable CPIC guidelines for IFNL3:    peginterferon alfa-2a; peginterferon alfa-2b; ribavirin	['here is the list of drugs with actionable cpic guidelines for ifnl3:    peginterferon alfa-2a', 'peginterferon alfa-2b', 'ribavirin']	0.3333333333333333	0.5
IFNL4	peginterferon alfa-2b;peginterferon alfa-2a	Which drugs have actionable CPIC guidelines for IFNL4? Please respond with nothing but a list of generic drug names delimited by ';'.	peginterferon alfa-2b;peginterferon alfa-2a	peginterferon alfa; ribavirin.	['peginterferon alfa', 'ribavirin.']	0.0	0.0
MT-RNR1	streptomycin;amikacin;tobramycin;netilmicin;gentamicin;dibekacin;kanamycin;neomycin;paromomycin;plazomicin;ribostamycin	Which drugs have actionable CPIC guidelines for MT-RNR1? Please respond with nothing but a list of generic drug names delimited by ';'.	streptomycin;amikacin;tobramycin;netilmicin;gentamicin;dibekacin;kanamycin;neomycin;paromomycin;plazomicin;ribostamycin	Here is the list of drugs with actionable CPIC guidelines for MT-RNR1:    Aminoglycosides	['here is the list of drugs with actionable cpic guidelines for mt-rnr1:    aminoglycosides']	0.0	0.0
NUDT15	thioguanine;azathioprine;mercaptopurine	Which drugs have actionable CPIC guidelines for NUDT15? Please respond with nothing but a list of generic drug names delimited by ';'.	thioguanine;azathioprine;mercaptopurine	Here is the list of drugs with actionable CPIC guidelines for NUDT15:     Thioguanine; Mercaptopurine; Azathioprine	['here is the list of drugs with actionable cpic guidelines for nudt15:     thioguanine', 'mercaptopurine', 'azathioprine']	0.6666666666666666	0.6666666666666666
RYR1	desflurane;succinylcholine;sevoflurane;methoxyflurane;halothane;isoflurane;enflurane	Which drugs have actionable CPIC guidelines for RYR1? Please respond with nothing but a list of generic drug names delimited by ';'.	desflurane;succinylcholine;sevoflurane;methoxyflurane;halothane;isoflurane;enflurane	Here is the list of drugs with actionable CPIC (Clinical Pharmacogenetics Implementation Consortium) guidelines for RYR1:    Mivacurium; Rocuronium; Succinylcholine; Vecuronium	['here is the list of drugs with actionable cpic (clinical pharmacogenetics implementation consortium) guidelines for ryr1:    mivacurium', 'rocuronium', 'succinylcholine', 'vecuronium']	0.25	0.14285714285714285
SLCO1B1	lovastatin;simvastatin;atorvastatin;pitavastatin;pravastatin;fluvastatin;rosuvastatin	Which drugs have actionable CPIC guidelines for SLCO1B1? Please respond with nothing but a list of generic drug names delimited by ';'.	lovastatin;simvastatin;atorvastatin;pitavastatin;pravastatin;fluvastatin;rosuvastatin	Here is the list of drugs with actionable CPIC guidelines for SLCO1B1:    Atorvastatin; Simvastatin; Pravastatin; Rosuvastatin	['here is the list of drugs with actionable cpic guidelines for slco1b1:    atorvastatin', 'simvastatin', 'pravastatin', 'rosuvastatin']	0.75	0.42857142857142855
TPMT	thioguanine;azathioprine;mercaptopurine	Which drugs have actionable CPIC guidelines for TPMT? Please respond with nothing but a list of generic drug names delimited by ';'.	thioguanine;azathioprine;mercaptopurine	Here is the list of drugs with actionable CPIC guidelines for TPMT:    Azathioprine; Mercaptopurine; Thioguanine	['here is the list of drugs with actionable cpic guidelines for tpmt:    azathioprine', 'mercaptopurine', 'thioguanine']	0.6666666666666666	0.6666666666666666
UGT1A1	irinotecan;atazanavir	Which drugs have actionable CPIC guidelines for UGT1A1? Please respond with nothing but a list of generic drug names delimited by ';'.	irinotecan;atazanavir	Here is the list of drugs with actionable CPIC guidelines for UGT1A1:    belinostat; irinotecan; nilotinib	['here is the list of drugs with actionable cpic guidelines for ugt1a1:    belinostat', 'irinotecan', 'nilotinib']	0.3333333333333333	0.5
VKORC1	warfarin	Which drugs have actionable CPIC guidelines for VKORC1? Please respond with nothing but a list of generic drug names delimited by ';'.	warfarin	Here is the list of drugs with actionable CPIC guidelines for VKORC1:    Warfarin; Acenocoumarol; Phenprocoumon; Coumatetralyl; Bishydroxycoumarin	['here is the list of drugs with actionable cpic guidelines for vkorc1:    warfarin', 'acenocoumarol', 'phenprocoumon', 'coumatetralyl', 'bishydroxycoumarin']	0.0	0.0
