drug	genes	mode	question	answer	llm_answer	llm_genes	precision	recall
gentamicin	MT-RNR1	clinician	I want to give my patient gentamicin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	UGT1A1;SLCO1B1;SLC22A2	['UGT1A1', 'SLCO1B1', 'SLC22A2']	0.0	0.0
gentamicin	MT-RNR1	researcher	What genes have actionable pharmacogenetic guidelines for gentamicin? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	SLC14A2;CFTR;SLC22A5	['SLC14A2', 'CFTR', 'SLC22A5']	0.0	0.0
halothane	RYR1;CACNA1S	clinician	I want to give my patient halothane. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	RYR1;CACNA1S	CYP2E1; GSTM1; GSTT1	['CYP2E1', 'GSTM1', 'GSTT1']	0.0	0.0
halothane	RYR1;CACNA1S	researcher	What genes have actionable pharmacogenetic guidelines for halothane? Please respond with nothing but a list of gene symbols delimited by ';'.	RYR1;CACNA1S	No response (safety filter)	['No response (safety filter)']	0.0	0.0
ibuprofen	CYP2C9	clinician	I want to give my patient ibuprofen. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9	No response (safety filter)	['No response (safety filter)']	0.0	0.0
ibuprofen	CYP2C9	researcher	What genes have actionable pharmacogenetic guidelines for ibuprofen? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9	CYP2C8; CYP2C9	['CYP2C8', 'CYP2C9']	0.5	1.0
irinotecan	UGT1A1	clinician	I want to give my patient irinotecan. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	UGT1A1	UGT1A1; UGT1A7; UGT1A9; UGT2B15; DPYD	['UGT1A1', 'UGT1A7', 'UGT1A9', 'UGT2B15', 'DPYD']	0.2	1.0
irinotecan	UGT1A1	researcher	What genes have actionable pharmacogenetic guidelines for irinotecan? Please respond with nothing but a list of gene symbols delimited by ';'.	UGT1A1	UGT1A1; UGT1A6; UGT1A7; UGT1A8; UGT1A9; UGT1A10	['UGT1A1', 'UGT1A6', 'UGT1A7', 'UGT1A8', 'UGT1A9', 'UGT1A10']	0.16666666666666666	1.0
isoflurane	RYR1;CACNA1S	clinician	I want to give my patient isoflurane. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	RYR1;CACNA1S	CYP2B6; CYP3A4; CYP3A5; GSTP1; UGT1A1	['CYP2B6', 'CYP3A4', 'CYP3A5', 'GSTP1', 'UGT1A1']	0.0	0.0
isoflurane	RYR1;CACNA1S	researcher	What genes have actionable pharmacogenetic guidelines for isoflurane? Please respond with nothing but a list of gene symbols delimited by ';'.	RYR1;CACNA1S	CYP2B6; CYP2E1; GSTM1; GSTT1	['CYP2B6', 'CYP2E1', 'GSTM1', 'GSTT1']	0.0	0.0
ivacaftor	CFTR	clinician	I want to give my patient ivacaftor. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CFTR	CFTR; RXR	['CFTR', 'RXR']	0.5	1.0
ivacaftor	CFTR	researcher	What genes have actionable pharmacogenetic guidelines for ivacaftor? Please respond with nothing but a list of gene symbols delimited by ';'.	CFTR	CFTR	['CFTR']	1.0	1.0
kanamycin	MT-RNR1	clinician	I want to give my patient kanamycin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	No response (safety filter)	['No response (safety filter)']	0.0	0.0
kanamycin	MT-RNR1	researcher	What genes have actionable pharmacogenetic guidelines for kanamycin? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	CFTR	['CFTR']	0.0	0.0
lansoprazole	CYP2C19	clinician	I want to give my patient lansoprazole. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP2C19;CYP3A4;CYP3A5	['CYP2C19', 'CYP3A4', 'CYP3A5']	0.3333333333333333	1.0
lansoprazole	CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for lansoprazole? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP2C19	['CYP2C19']	1.0	1.0
lornoxicam	CYP2C9	clinician	I want to give my patient lornoxicam. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9	CYP2C9;SLCO1B1	['CYP2C9', 'SLCO1B1']	0.5	1.0
lornoxicam	CYP2C9	researcher	What genes have actionable pharmacogenetic guidelines for lornoxicam? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9	CYP2C9	['CYP2C9']	1.0	1.0
lovastatin	SLCO1B1	clinician	I want to give my patient lovastatin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	SLCO1B1	SLCO1B1;UGT1A1;CYP3A4;CYP3A5	['SLCO1B1', 'UGT1A1', 'CYP3A4', 'CYP3A5']	0.25	1.0
lovastatin	SLCO1B1	researcher	What genes have actionable pharmacogenetic guidelines for lovastatin? Please respond with nothing but a list of gene symbols delimited by ';'.	SLCO1B1	SLCO1B1;CYP3A4;CYP3A5;ABCB1	['SLCO1B1', 'CYP3A4', 'CYP3A5', 'ABCB1']	0.25	1.0
meloxicam	CYP2C9	clinician	I want to give my patient meloxicam. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9	No response (safety filter)	['No response (safety filter)']	0.0	0.0
meloxicam	CYP2C9	researcher	What genes have actionable pharmacogenetic guidelines for meloxicam? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9	CYP2C9;SLCO1B1;SLC22A1	['CYP2C9', 'SLCO1B1', 'SLC22A1']	0.3333333333333333	1.0
mercaptopurine	NUDT15;TPMT	clinician	I want to give my patient mercaptopurine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	NUDT15;TPMT	No response (safety filter)	['No response (safety filter)']	0.0	0.0
mercaptopurine	NUDT15;TPMT	researcher	What genes have actionable pharmacogenetic guidelines for mercaptopurine? Please respond with nothing but a list of gene symbols delimited by ';'.	NUDT15;TPMT	No response (safety filter)	['No response (safety filter)']	0.0	0.0
methoxyflurane	RYR1;CACNA1S	clinician	I want to give my patient methoxyflurane. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	RYR1;CACNA1S	POR; CYP2E1	['POR', 'CYP2E1']	0.0	0.0
methoxyflurane	RYR1;CACNA1S	researcher	What genes have actionable pharmacogenetic guidelines for methoxyflurane? Please respond with nothing but a list of gene symbols delimited by ';'.	RYR1;CACNA1S	CYP2B6;POR	['CYP2B6', 'POR']	0.0	0.0
methylene blue	G6PD	clinician	I want to give my patient methylene blue. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	No response (safety filter)	['No response (safety filter)']	0.0	0.0
methylene blue	G6PD	researcher	What genes have actionable pharmacogenetic guidelines for methylene blue? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	CYP2C19; G6PD; MTHFR	['CYP2C19', 'G6PD', 'MTHFR']	0.3333333333333333	1.0
neomycin	MT-RNR1	clinician	I want to give my patient neomycin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	No response (safety filter)	['No response (safety filter)']	0.0	0.0
neomycin	MT-RNR1	researcher	What genes have actionable pharmacogenetic guidelines for neomycin? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	AGXT2; SLC19A1; SLC22A5	['AGXT2', 'SLC19A1', 'SLC22A5']	0.0	0.0
netilmicin	MT-RNR1	clinician	I want to give my patient netilmicin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	SLCO2B1	['SLCO2B1']	0.0	0.0
netilmicin	MT-RNR1	researcher	What genes have actionable pharmacogenetic guidelines for netilmicin? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	No response (safety filter)	['No response (safety filter)']	0.0	0.0
nitrofurantoin	G6PD	clinician	I want to give my patient nitrofurantoin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	No response (safety filter)	['No response (safety filter)']	0.0	0.0
nitrofurantoin	G6PD	researcher	What genes have actionable pharmacogenetic guidelines for nitrofurantoin? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	No response (safety filter)	['No response (safety filter)']	0.0	0.0
nortriptyline	CYP2D6	clinician	I want to give my patient nortriptyline. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6; CYP450; CYP2C19; CYP1A2; SCN1A; SCN2A; SCN3A; SCN4A; SCN5A; SCN8A; SCN9A; SCN10A; SCN11A; HCN1; HCN2; HCN4	['CYP2D6', 'CYP450', 'CYP2C19', 'CYP1A2', 'SCN1A', 'SCN2A', 'SCN3A', 'SCN4A', 'SCN5A', 'SCN8A', 'SCN9A', 'SCN10A', 'SCN11A', 'HCN1', 'HCN2', 'HCN4']	0.0625	1.0
nortriptyline	CYP2D6	researcher	What genes have actionable pharmacogenetic guidelines for nortriptyline? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6	['CYP2D6']	1.0	1.0
omeprazole	CYP2C19	clinician	I want to give my patient omeprazole. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP2C19;CYP3A4;CYP3A5	['CYP2C19', 'CYP3A4', 'CYP3A5']	0.3333333333333333	1.0
omeprazole	CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for omeprazole? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP2C19; CYP2C9; CYP2C8	['CYP2C19', 'CYP2C9', 'CYP2C8']	0.3333333333333333	1.0
ondansetron	CYP2D6	clinician	I want to give my patient ondansetron. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	HTR3A;HTR3B;HTR3C;HTR3D;HTR3E	['HTR3A', 'HTR3B', 'HTR3C', 'HTR3D', 'HTR3E']	0.0	0.0
ondansetron	CYP2D6	researcher	What genes have actionable pharmacogenetic guidelines for ondansetron? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6;CYP3A4;ABCB1	['CYP2D6', 'CYP3A4', 'ABCB1']	0.3333333333333333	1.0
oxcarbazepine	HLA-B	clinician	I want to give my patient oxcarbazepine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-B	No response (safety filter)	['No response (safety filter)']	0.0	0.0
oxcarbazepine	HLA-B	researcher	What genes have actionable pharmacogenetic guidelines for oxcarbazepine? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-B	HLA-B; HLA-A	['HLA-B', 'HLA-A']	0.5	1.0
pantoprazole	CYP2C19	clinician	I want to give my patient pantoprazole. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP2C19;CYP3A4;CYP3A5	['CYP2C19', 'CYP3A4', 'CYP3A5']	0.3333333333333333	1.0
pantoprazole	CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for pantoprazole? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP2C19	['CYP2C19']	1.0	1.0
paromomycin	MT-RNR1	clinician	I want to give my patient paromomycin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	NPR2;UMOD;SLC22A5	['NPR2', 'UMOD', 'SLC22A5']	0.0	0.0
paromomycin	MT-RNR1	researcher	What genes have actionable pharmacogenetic guidelines for paromomycin? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	SLC14A2; RNF186	['SLC14A2', 'RNF186']	0.0	0.0
paroxetine	CYP2D6	clinician	I want to give my patient paroxetine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	No response (safety filter)	['No response (safety filter)']	0.0	0.0
paroxetine	CYP2D6	researcher	What genes have actionable pharmacogenetic guidelines for paroxetine? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	No response (safety filter)	['No response (safety filter)']	0.0	0.0
peginterferon alfa-2a	IFNL4;IFNL3	clinician	I want to give my patient peginterferon alfa-2a. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	IFNL4;IFNL3	IL28B;IFNL4	['IL28B', 'IFNL4']	0.5	0.5
peginterferon alfa-2a	IFNL4;IFNL3	researcher	What genes have actionable pharmacogenetic guidelines for peginterferon alfa-2a? Please respond with nothing but a list of gene symbols delimited by ';'.	IFNL4;IFNL3	IL28B;IFNL4;STAT1;STAT4	['IL28B', 'IFNL4', 'STAT1', 'STAT4']	0.25	0.5
peginterferon alfa-2b	IFNL4;IFNL3	clinician	I want to give my patient peginterferon alfa-2b. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	IFNL4;IFNL3	IL28B;STAT1;IFNL3;IFNL4;CYP2C19	['IL28B', 'STAT1', 'IFNL3', 'IFNL4', 'CYP2C19']	0.4	1.0
peginterferon alfa-2b	IFNL4;IFNL3	researcher	What genes have actionable pharmacogenetic guidelines for peginterferon alfa-2b? Please respond with nothing but a list of gene symbols delimited by ';'.	IFNL4;IFNL3	IL28B; IFNL3	['IL28B', 'IFNL3']	0.5	0.5
pegloticase	G6PD	clinician	I want to give my patient pegloticase. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	G6PD;	['G6PD', '']	0.5	1.0
pegloticase	G6PD	researcher	What genes have actionable pharmacogenetic guidelines for pegloticase? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	G6PD	['G6PD']	1.0	1.0
phenytoin	CYP2C9;HLA-B	clinician	I want to give my patient phenytoin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9;HLA-B	CYP2C9;CYP2C19;EPHX1;SCN1A;SCN1B;SCN2A;SCN3A;SCN4A;SCN5A;SCN8A;SCN9A;SLC15A2	['CYP2C9', 'CYP2C19', 'EPHX1', 'SCN1A', 'SCN1B', 'SCN2A', 'SCN3A', 'SCN4A', 'SCN5A', 'SCN8A', 'SCN9A', 'SLC15A2']	0.08333333333333333	0.5
phenytoin	CYP2C9;HLA-B	researcher	What genes have actionable pharmacogenetic guidelines for phenytoin? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9;HLA-B	CYP2C9; CYP2C19; EPHX1	['CYP2C9', 'CYP2C19', 'EPHX1']	0.3333333333333333	0.5
piroxicam	CYP2C9	clinician	I want to give my patient piroxicam. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9	CYP2C9;CYP1A2;CYP2C8	['CYP2C9', 'CYP1A2', 'CYP2C8']	0.3333333333333333	1.0
piroxicam	CYP2C9	researcher	What genes have actionable pharmacogenetic guidelines for piroxicam? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9	CYP2C9;SLC22A1	['CYP2C9', 'SLC22A1']	0.5	1.0
pitavastatin	SLCO1B1	clinician	I want to give my patient pitavastatin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	SLCO1B1	SLCO1B1;CYP2C8	['SLCO1B1', 'CYP2C8']	0.5	1.0
