drug	genes	mode	question	answer	llm_answer	llm_genes	precision	recall
aminosalicylic acid	G6PD	clinician	I want to give my patient aminosalicylic acid. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	NAT2; HLA-B	['NAT2', 'HLA-B']	0.0	0.0
aminosalicylic acid	G6PD	researcher	What genes have actionable pharmacogenetic guidelines for aminosalicylic acid? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	NAT2	['NAT2']	0.0	0.0
amitriptyline	CYP2D6	clinician	I want to give my patient amitriptyline. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6;CYP2C19;CYP1A2;CYP3A4	['CYP2D6', 'CYP2C19', 'CYP1A2', 'CYP3A4']	0.25	1.0
amitriptyline	CYP2D6;CYP2C19	clinician	I want to give my patient amitriptyline. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6;CYP2C19	CYP2D6;CYP2C19;CYP1A2;CYP3A4	['CYP2D6', 'CYP2C19', 'CYP1A2', 'CYP3A4']	0.5	1.0
amitriptyline	CYP2D6	researcher	What genes have actionable pharmacogenetic guidelines for amitriptyline? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6;CYP2C19	['CYP2D6', 'CYP2C19']	0.5	1.0
amitriptyline	CYP2D6;CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for amitriptyline? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6;CYP2C19	CYP2D6;CYP2C19	['CYP2D6', 'CYP2C19']	1.0	1.0
aspirin	G6PD	clinician	I want to give my patient aspirin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	UGT1A6;CYP2C9;ABCC4;GP6;ITGB3	['UGT1A6', 'CYP2C9', 'ABCC4', 'GP6', 'ITGB3']	0.0	0.0
aspirin	G6PD	researcher	What genes have actionable pharmacogenetic guidelines for aspirin? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	CYP2C19	['CYP2C19']	0.0	0.0
atazanavir	UGT1A1	clinician	I want to give my patient atazanavir. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	UGT1A1	SLCO1B1; UGT1A1; CYP3A5	['SLCO1B1', 'UGT1A1', 'CYP3A5']	0.3333333333333333	1.0
atazanavir	UGT1A1	researcher	What genes have actionable pharmacogenetic guidelines for atazanavir? Please respond with nothing but a list of gene symbols delimited by ';'.	UGT1A1	SLCO1B1; UGT1A1	['SLCO1B1', 'UGT1A1']	0.5	1.0
atomoxetine	CYP2D6	clinician	I want to give my patient atomoxetine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6	['CYP2D6']	1.0	1.0
atomoxetine	CYP2D6	researcher	What genes have actionable pharmacogenetic guidelines for atomoxetine? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6	['CYP2D6']	1.0	1.0
atorvastatin	CYP2C9;SLCO1B1	clinician	I want to give my patient atorvastatin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9;SLCO1B1	SLCO1B1;CYP3A4;CYP3A5	['SLCO1B1', 'CYP3A4', 'CYP3A5']	0.3333333333333333	0.5
atorvastatin	SLCO1B1	clinician	I want to give my patient atorvastatin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	SLCO1B1	SLCO1B1;CYP3A4;CYP3A5	['SLCO1B1', 'CYP3A4', 'CYP3A5']	0.3333333333333333	1.0
atorvastatin	ABCG2;SLCO1B1	clinician	I want to give my patient atorvastatin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	ABCG2;SLCO1B1	SLCO1B1;CYP3A4;CYP3A5	['SLCO1B1', 'CYP3A4', 'CYP3A5']	0.3333333333333333	0.5
atorvastatin	CYP2C9;SLCO1B1	researcher	What genes have actionable pharmacogenetic guidelines for atorvastatin? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9;SLCO1B1	SLCO1B1	['SLCO1B1']	1.0	0.5
atorvastatin	SLCO1B1	researcher	What genes have actionable pharmacogenetic guidelines for atorvastatin? Please respond with nothing but a list of gene symbols delimited by ';'.	SLCO1B1	SLCO1B1	['SLCO1B1']	1.0	1.0
atorvastatin	ABCG2;SLCO1B1	researcher	What genes have actionable pharmacogenetic guidelines for atorvastatin? Please respond with nothing but a list of gene symbols delimited by ';'.	ABCG2;SLCO1B1	SLCO1B1	['SLCO1B1']	1.0	0.5
azathioprine	TPMT;NUDT15	clinician	I want to give my patient azathioprine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	TPMT;NUDT15	NUDT15; TPMT	['NUDT15', 'TPMT']	1.0	1.0
azathioprine	TPMT;NUDT15	researcher	What genes have actionable pharmacogenetic guidelines for azathioprine? Please respond with nothing but a list of gene symbols delimited by ';'.	TPMT;NUDT15	TPMT; NUDT15	['TPMT', 'NUDT15']	1.0	1.0
buprenorphine	CYP2D6	clinician	I want to give my patient buprenorphine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	OPRM1;CYP3A4;CYP3A5;CYP2D6	['OPRM1', 'CYP3A4', 'CYP3A5', 'CYP2D6']	0.25	1.0
buprenorphine	CYP2D6	researcher	What genes have actionable pharmacogenetic guidelines for buprenorphine? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP3A4; OPRM1	['CYP3A4', 'OPRM1']	0.0	0.0
capecitabine	DPYD	clinician	I want to give my patient capecitabine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	DPYD	DPYD;TYMS;CYP2C9;CYP2D6;UMOD	['DPYD', 'TYMS', 'CYP2C9', 'CYP2D6', 'UMOD']	0.2	1.0
capecitabine	DPYD	researcher	What genes have actionable pharmacogenetic guidelines for capecitabine? Please respond with nothing but a list of gene symbols delimited by ';'.	DPYD	DPYD; TYMS	['DPYD', 'TYMS']	0.5	1.0
carbamazepine	HLA-B	clinician	I want to give my patient carbamazepine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-B	CYP3A4;CYP3A5;HLA-B;HLA-A	['CYP3A4', 'CYP3A5', 'HLA-B', 'HLA-A']	0.25	1.0
carbamazepine	HLA-A;HLA-B	clinician	I want to give my patient carbamazepine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-A;HLA-B	CYP3A4;CYP3A5;HLA-B;HLA-A	['CYP3A4', 'CYP3A5', 'HLA-B', 'HLA-A']	0.5	1.0
carbamazepine	HLA-B	researcher	What genes have actionable pharmacogenetic guidelines for carbamazepine? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-B	HLA-B; CYP3A4; CYP3A5	['HLA-B', 'CYP3A4', 'CYP3A5']	0.3333333333333333	1.0
carbamazepine	HLA-A;HLA-B	researcher	What genes have actionable pharmacogenetic guidelines for carbamazepine? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-A;HLA-B	HLA-B; CYP3A4; CYP3A5	['HLA-B', 'CYP3A4', 'CYP3A5']	0.3333333333333333	0.5
celecoxib	CYP2C9	clinician	I want to give my patient celecoxib. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9	CYP2C9;PTGS2	['CYP2C9', 'PTGS2']	0.5	1.0
celecoxib	CYP2C9	researcher	What genes have actionable pharmacogenetic guidelines for celecoxib? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9	CYP2C9; CYP2C8	['CYP2C9', 'CYP2C8']	0.5	1.0
chloramphenicol	G6PD	clinician	I want to give my patient chloramphenicol. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	CYP2C19;CYP2D6;CYP3A4;CYP3A5	['CYP2C19', 'CYP2D6', 'CYP3A4', 'CYP3A5']	0.0	0.0
chloramphenicol	G6PD	researcher	What genes have actionable pharmacogenetic guidelines for chloramphenicol? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	CYP2A6; CYP2B6; CYP2C19; CYP2C9; CYP2E1; CYP3A4; CYP3A5	['CYP2A6', 'CYP2B6', 'CYP2C19', 'CYP2C9', 'CYP2E1', 'CYP3A4', 'CYP3A5']	0.0	0.0
chloroquine	G6PD	clinician	I want to give my patient chloroquine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	CYP2C8;CYP3A4;CYP2D6	['CYP2C8', 'CYP3A4', 'CYP2D6']	0.0	0.0
chloroquine	G6PD	researcher	What genes have actionable pharmacogenetic guidelines for chloroquine? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	CYP2D6; G6PD	['CYP2D6', 'G6PD']	0.5	1.0
chlorpropamide	G6PD	clinician	I want to give my patient chlorpropamide. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	CYP2C9;VKORC1	['CYP2C9', 'VKORC1']	0.0	0.0
chlorpropamide	G6PD	researcher	What genes have actionable pharmacogenetic guidelines for chlorpropamide? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	CYP2C9; HNF1A; HNF4A	['CYP2C9', 'HNF1A', 'HNF4A']	0.0	0.0
ciprofloxacin	G6PD	clinician	I want to give my patient ciprofloxacin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	CYP1A2;G6PD	['CYP1A2', 'G6PD']	0.5	1.0
ciprofloxacin	G6PD	researcher	What genes have actionable pharmacogenetic guidelines for ciprofloxacin? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	G6PD	['G6PD']	1.0	1.0
citalopram	CYP2D6	clinician	I want to give my patient citalopram. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2C19; CYP2D6	['CYP2C19', 'CYP2D6']	0.5	1.0
citalopram	CYP2B6;CYP2C19	clinician	I want to give my patient citalopram. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2B6;CYP2C19	CYP2C19; CYP2D6	['CYP2C19', 'CYP2D6']	0.5	0.5
citalopram	CYP2C19	clinician	I want to give my patient citalopram. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP2C19; CYP2D6	['CYP2C19', 'CYP2D6']	0.5	1.0
citalopram	CYP2D6	researcher	What genes have actionable pharmacogenetic guidelines for citalopram? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2C19; CYP2D6	['CYP2C19', 'CYP2D6']	0.5	1.0
citalopram	CYP2B6;CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for citalopram? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2B6;CYP2C19	CYP2C19; CYP2D6	['CYP2C19', 'CYP2D6']	0.5	0.5
citalopram	CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for citalopram? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP2C19; CYP2D6	['CYP2C19', 'CYP2D6']	0.5	1.0
clomipramine	CYP2D6	clinician	I want to give my patient clomipramine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6;CYP2C19	['CYP2D6', 'CYP2C19']	0.5	1.0
clomipramine	CYP2D6;CYP2C19	clinician	I want to give my patient clomipramine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6;CYP2C19	CYP2D6;CYP2C19	['CYP2D6', 'CYP2C19']	1.0	1.0
clomipramine	CYP2D6	researcher	What genes have actionable pharmacogenetic guidelines for clomipramine? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2C19; CYP2D6	['CYP2C19', 'CYP2D6']	0.5	1.0
clomipramine	CYP2D6;CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for clomipramine? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6;CYP2C19	CYP2D6; CYP2C19	['CYP2D6', 'CYP2C19']	1.0	1.0
clopidogrel	CYP2C19	clinician	I want to give my patient clopidogrel. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP2C19; ABCB1; PON1; CES1	['CYP2C19', 'ABCB1', 'PON1', 'CES1']	0.25	1.0
clopidogrel	CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for clopidogrel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP2C19	['CYP2C19']	1.0	1.0
codeine	CYP2D6	clinician	I want to give my patient codeine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6;UGT2B7	['CYP2D6', 'UGT2B7']	0.5	1.0
codeine	CYP2D6	researcher	What genes have actionable pharmacogenetic guidelines for codeine? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6;UGT2B7	['CYP2D6', 'UGT2B7']	0.5	1.0
dabrafenib	G6PD	clinician	I want to give my patient dabrafenib. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	BRAF;CYP2C8;CYP3A4	['BRAF', 'CYP2C8', 'CYP3A4']	0.0	0.0
dabrafenib	G6PD	researcher	What genes have actionable pharmacogenetic guidelines for dabrafenib? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	BRAF	['BRAF']	0.0	0.0
dapsone	G6PD	clinician	I want to give my patient dapsone. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	CYP2E1;NAT2;HFE	['CYP2E1', 'NAT2', 'HFE']	0.0	0.0
dapsone	G6PD	researcher	What genes have actionable pharmacogenetic guidelines for dapsone? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	G6PD	['G6PD']	1.0	1.0
desflurane	RYR1;CACNA1S	clinician	I want to give my patient desflurane. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	RYR1;CACNA1S	CYP2E1;RYR1;CACNA1S	['CYP2E1', 'RYR1', 'CACNA1S']	0.6666666666666666	1.0
desflurane	RYR1;CACNA1S	researcher	What genes have actionable pharmacogenetic guidelines for desflurane? Please respond with nothing but a list of gene symbols delimited by ';'.	RYR1;CACNA1S	CYP2E1	['CYP2E1']	0.0	0.0
desipramine	CYP2D6	clinician	I want to give my patient desipramine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6;CYP2C19	['CYP2D6', 'CYP2C19']	0.5	1.0
desipramine	CYP2D6;CYP2C19	clinician	I want to give my patient desipramine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6;CYP2C19	CYP2D6;CYP2C19	['CYP2D6', 'CYP2C19']	1.0	1.0
desipramine	CYP2D6	researcher	What genes have actionable pharmacogenetic guidelines for desipramine? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6; CYP2C19	['CYP2D6', 'CYP2C19']	0.5	1.0
desipramine	CYP2D6;CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for desipramine? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6;CYP2C19	CYP2D6; CYP2C19	['CYP2D6', 'CYP2C19']	1.0	1.0
desvenlafaxine	CYP2D6	clinician	I want to give my patient desvenlafaxine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6;CYP3A4;CYP3A5	['CYP2D6', 'CYP3A4', 'CYP3A5']	0.3333333333333333	1.0
desvenlafaxine	CYP2B6;CYP2C19	clinician	I want to give my patient desvenlafaxine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2B6;CYP2C19	CYP2D6;CYP3A4;CYP3A5	['CYP2D6', 'CYP3A4', 'CYP3A5']	0.0	0.0
desvenlafaxine	CYP2C19	clinician	I want to give my patient desvenlafaxine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP2D6;CYP3A4;CYP3A5	['CYP2D6', 'CYP3A4', 'CYP3A5']	0.0	0.0
desvenlafaxine	CYP2D6	researcher	What genes have actionable pharmacogenetic guidelines for desvenlafaxine? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6	['CYP2D6']	1.0	1.0
desvenlafaxine	CYP2B6;CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for desvenlafaxine? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2B6;CYP2C19	CYP2D6	['CYP2D6']	0.0	0.0
desvenlafaxine	CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for desvenlafaxine? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP2D6	['CYP2D6']	0.0	0.0
dexlansoprazole	CYP2C19	clinician	I want to give my patient dexlansoprazole. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP2C19;ABCB1	['CYP2C19', 'ABCB1']	0.5	1.0
dexlansoprazole	CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for dexlansoprazole? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP2C19	['CYP2C19']	1.0	1.0
dibekacin	MT-RNR1	clinician	I want to give my patient dibekacin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	NAT2;MT-RNR1	['NAT2', 'MT-RNR1']	0.5	1.0
dibekacin	MT-RNR1	researcher	What genes have actionable pharmacogenetic guidelines for dibekacin? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	NAT2	['NAT2']	0.0	0.0
diclofenac	CYP2C9	clinician	I want to give my patient diclofenac. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9	CYP2C9;UGT2B7;SLCO1B1;ABCB1	['CYP2C9', 'UGT2B7', 'SLCO1B1', 'ABCB1']	0.25	1.0
diclofenac	CYP2C9	researcher	What genes have actionable pharmacogenetic guidelines for diclofenac? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9	CYP2C9	['CYP2C9']	1.0	1.0
dimercaprol	G6PD	clinician	I want to give my patient dimercaprol. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	GSTP1;GSTA1;GSTT1;GSTM1	['GSTP1', 'GSTA1', 'GSTT1', 'GSTM1']	0.0	0.0
dimercaprol	G6PD	researcher	What genes have actionable pharmacogenetic guidelines for dimercaprol? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	No known genes with actionable pharmacogenetic guidelines for dimercaprol.	['No known genes with actionable pharmacogenetic guidelines for dimercaprol.']	0.0	0.0
doxepin	CYP2D6	clinician	I want to give my patient doxepin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6;CYP2C19	['CYP2D6', 'CYP2C19']	0.5	1.0
doxepin	CYP2D6;CYP2C19	clinician	I want to give my patient doxepin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6;CYP2C19	CYP2C19;CYP2D6	['CYP2C19', 'CYP2D6']	1.0	1.0
doxepin	CYP2D6	researcher	What genes have actionable pharmacogenetic guidelines for doxepin? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6; CYP2C19	['CYP2D6', 'CYP2C19']	0.5	1.0
doxepin	CYP2D6;CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for doxepin? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6;CYP2C19	CYP2D6; CYP2C19	['CYP2D6', 'CYP2C19']	1.0	1.0
doxorubicin	G6PD	clinician	I want to give my patient doxorubicin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	ABCB1;ABCB4;ABCC1;ABCC2;ABCG2;CYP3A4;CYP3A5;SLC22A16;TOP2A;RARG;NQO1	['ABCB1', 'ABCB4', 'ABCC1', 'ABCC2', 'ABCG2', 'CYP3A4', 'CYP3A5', 'SLC22A16', 'TOP2A', 'RARG', 'NQO1']	0.0	0.0
doxorubicin	G6PD	researcher	What genes have actionable pharmacogenetic guidelines for doxorubicin? Please respond with nothing but a list of gene symbols delimited by ';'.	G6PD	ABCB1;ABCC1;ABCC2;UGT1A6;SLCO1B1;CYP3A4;CYP3A5;CYP2D6;GSTP1;TOP2B	['ABCB1', 'ABCC1', 'ABCC2', 'UGT1A6', 'SLCO1B1', 'CYP3A4', 'CYP3A5', 'CYP2D6', 'GSTP1', 'TOP2B']	0.0	0.0
duloxetine	CYP2D6	clinician	I want to give my patient duloxetine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP1A2; CYP2D6	['CYP1A2', 'CYP2D6']	0.5	1.0
duloxetine	CYP2B6;CYP2C19	clinician	I want to give my patient duloxetine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2B6;CYP2C19	CYP1A2; CYP2D6	['CYP1A2', 'CYP2D6']	0.0	0.0
duloxetine	CYP2C19	clinician	I want to give my patient duloxetine. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP1A2; CYP2D6	['CYP1A2', 'CYP2D6']	0.0	0.0
duloxetine	CYP2D6	researcher	What genes have actionable pharmacogenetic guidelines for duloxetine? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2D6; CYP1A2	['CYP2D6', 'CYP1A2']	0.5	1.0
duloxetine	CYP2B6;CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for duloxetine? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2B6;CYP2C19	CYP2D6; CYP1A2	['CYP2D6', 'CYP1A2']	0.0	0.0
duloxetine	CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for duloxetine? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP2D6; CYP1A2	['CYP2D6', 'CYP1A2']	0.0	0.0
efavirenz	CYP2B6	clinician	I want to give my patient efavirenz. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2B6	CYP2B6;CYP2A6;CYP3A4;CYP3A5;UGT2B7	['CYP2B6', 'CYP2A6', 'CYP3A4', 'CYP3A5', 'UGT2B7']	0.2	1.0
efavirenz	CYP2B6	researcher	What genes have actionable pharmacogenetic guidelines for efavirenz? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2B6	CYP2B6; CYP2A6	['CYP2B6', 'CYP2A6']	0.5	1.0
enflurane	RYR1;CACNA1S	clinician	I want to give my patient enflurane. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	RYR1;CACNA1S	CYP2E1;RYR1;CACNA1S	['CYP2E1', 'RYR1', 'CACNA1S']	0.6666666666666666	1.0
enflurane	RYR1;CACNA1S	researcher	What genes have actionable pharmacogenetic guidelines for enflurane? Please respond with nothing but a list of gene symbols delimited by ';'.	RYR1;CACNA1S	CYP2E1	['CYP2E1']	0.0	0.0
escitalopram	CYP2D6	clinician	I want to give my patient escitalopram. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2C19; CYP2D6; HTR2A; SLC6A4	['CYP2C19', 'CYP2D6', 'HTR2A', 'SLC6A4']	0.25	1.0
escitalopram	CYP2B6;CYP2C19	clinician	I want to give my patient escitalopram. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2B6;CYP2C19	CYP2C19; CYP2D6; HTR2A; SLC6A4	['CYP2C19', 'CYP2D6', 'HTR2A', 'SLC6A4']	0.25	0.5
escitalopram	CYP2C19	clinician	I want to give my patient escitalopram. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP2C19; CYP2D6	['CYP2C19', 'CYP2D6']	0.5	1.0
escitalopram	CYP2D6	researcher	What genes have actionable pharmacogenetic guidelines for escitalopram? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP2C19; CYP2D6	['CYP2C19', 'CYP2D6']	0.5	1.0
escitalopram	CYP2B6;CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for escitalopram? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2B6;CYP2C19	CYP2C19; CYP2D6	['CYP2C19', 'CYP2D6']	0.5	0.5
escitalopram	CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for escitalopram? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C19	CYP2C19; CYP2D6	['CYP2C19', 'CYP2D6']	0.5	1.0
