drug	genes	question	answer	incorrect_recommendations	concurring_recommendation	llm_answer	bert_score_precision_llm_vs_ref	bert_score_recall_llm_vs_ref	bert_score_f1_llm_vs_ref	bert_score_precision_llm_vs_concurring	bert_score_recall_llm_vs_concurring	bert_score_f1_llm_vs_concurring	oai_embedding_llm_vs_ref	oai_embedding_llm_vs_concurring	oai_embedding_llm_vs_counterfactual	negation_mpnet_llm_vs_ref	negation_mpnet_llm_vs_concurring	negation_mpnet_llm_vs_counterfactual	base_mpnet_llm_vs_ref	base_mpnet_llm_vs_concurring	base_mpnet_llm_vs_counterfactual	roberta_llm_vs_ref	roberta_llm_vs_concurring	roberta_llm_vs_counterfactual	gte_llm_vs_ref	gte_llm_vs_concurring	gte_llm_vs_counterfactual	gpt4_llm_vs_ref
aminosalicylic acid	G6PD	What would be the clinical guidance for someone who is Normal for G6PD with regards to taking aminosalicylic acid? Give a 2-3 sentence summary.	No reason to avoid based on G6PD status	"['Avoid aminosalicylic acid. Take an alternate therapy.', 'Take aminosalicylic acid with a reduced dose.', 'Take aminosalicylic acid with an increased dose.']"	Proceed taking aminosalicylic acid as normal. There is no recommendation.	"For individuals with normal G6PD enzyme activity, taking aminosalicylic acid generally does not pose the same risk of hemolytic anemia as it does for those with G6PD deficiency. Clinical guidance typically does not require special precautions or modifications for these patients when prescribing aminosalicylic acid. However, it is always important to monitor for any adverse reactions and report them to a healthcare provider."	-0.08378661	0.21532987	0.050074983	tensor(0.0049)	tensor(0.4087)	tensor(0.1790)	0.6236091920379400	0.6513710228093410	0.32600336670886500	0.5249661	0.68025976	0.2866903	0.46665967	0.6954684	0.21298236	0.38336024	0.60795057	0.13092467	0.5017809	0.5852035	0.3716985	1
amitriptyline	CYP2D6;CYP2C19	What would be the clinical guidance for someone who is Ultrarapid Metabolizer and activity score = ≥3.0 for CYP2D6 and Intermediate Metabolizer for CYP2C19 with regards to taking amitriptyline? Give a 2-3 sentence summary.	"Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."	"['Proceed taking amitriptyline as normal. There is no recommendation.', 'Take amitriptyline with a reduced dose.', 'Take amitriptyline with an increased dose.']"	Avoid amitriptyline. Take an alternate therapy.	"For someone who is an Ultrarapid Metabolizer (activity score ≥3.0) for CYP2D6 and an Intermediate Metabolizer for CYP2C19, taking amitriptyline could result in reduced drug efficacy and increased risk of side effects due to rapid metabolism via CYP2D6. Clinical guidelines often recommend considering an alternative therapy not metabolized by CYP2D6 or adjusting the dosage carefully, with more frequent monitoring of therapeutic drug levels and side effects."	-0.034460127	0.262797	0.09925863	tensor(-0.0987)	tensor(0.4643)	tensor(0.1256)	0.6804709572368900	0.6331012835194340	0.6761597814167970	0.64095	0.62365866	0.65662014	0.6547876	0.71669406	0.72874606	0.54704255	0.5538774	0.567458	0.5795068	0.6059862	0.5949565	1
amitriptyline	CYP2D6;CYP2C19	What would be the clinical guidance for someone who is Poor Metabolizer and activity score = 0.0 for CYP2D6 and Intermediate Metabolizer for CYP2C19 with regards to taking amitriptyline? Give a 2-3 sentence summary.	"Avoid amitriptyline use. If a amitripyline is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."	"['Proceed taking amitriptyline as normal. There is no recommendation.', 'Take amitriptyline with a reduced dose.', 'Take amitriptyline with an increased dose.']"	Avoid amitriptyline. Take an alternate therapy.	"For a patient who is a Poor Metabolizer with an activity score of 0.0 for CYP2D6 and an Intermediate Metabolizer for CYP2C19, the clinical guidance for using amitriptyline would suggest avoiding its use due to the increased risk of adverse effects and potential toxicity. Alternative medications not metabolized by CYP2D6 or CYP2C19 should be considered, or careful dose adjustments and therapeutic drug monitoring should be employed if amitriptyline is deemed necessary."	0.06098273	0.35561922	0.19461997	tensor(-0.0831)	tensor(0.4254)	tensor(0.1189)	0.7213811691332620	0.6299126483187810	0.7531740305806400	0.6610975	0.6213468	0.6956771	0.7126802	0.6736188	0.7862296	0.6778119	0.5996871	0.63873184	0.6487277	0.6255569	0.58493006	1
amitriptyline	CYP2D6;CYP2C19	What would be the clinical guidance for someone who is Ultrarapid Metabolizer and activity score = ≥4.0 for CYP2D6 and No Result for CYP2C19 with regards to taking amitriptyline? Give a 2-3 sentence summary.	"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."	"['Proceed taking amitriptyline as normal. There is no recommendation.', 'Take amitriptyline with a reduced dose.', 'Take amitriptyline with an increased dose.']"	Avoid amitriptyline. Take an alternate therapy.	"For a patient identified as an ultrarapid metabolizer with a CYP2D6 activity score of ≥ 4.0 and no result for CYP2C19, the clinical guidance would be to consider an alternative medication not metabolized by CYP2D6 due to the potential for subtherapeutic levels of amitriptyline. If amitriptyline is deemed necessary, careful titration and consideration of increased dosing might be required along with close monitoring for efficacy and side effects."	0.21850698	0.24400775	0.23340283	tensor(-0.0675)	tensor(0.4293)	tensor(0.1274)	0.6951900498176440	0.6102388930339970	0.5419076213519440	0.7370977	0.6158376	0.50975627	0.68443394	0.5834352	0.4765109	0.6869156	0.5147392	0.42915663	0.6892926	0.5885683	0.459536	1
amitriptyline	CYP2D6;CYP2C19	What would be the clinical guidance for someone who is Ultrarapid Metabolizer and activity score = 2.5 for CYP2D6 and Rapid Metabolizer for CYP2C19 with regards to taking amitriptyline? Give a 2-3 sentence summary.	"Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."	"['Proceed taking amitriptyline as normal. There is no recommendation.', 'Take amitriptyline with a reduced dose.', 'Take amitriptyline with an increased dose.']"	Avoid amitriptyline. Take an alternate therapy.	"For a patient who is an Ultrarapid Metabolizer (activity score = 2.5) for CYP2D6 and a Rapid Metabolizer for CYP2C19, amitriptyline dosing may require careful adjustment. Due to the increased metabolism of the drug, it is recommended to consider alternative medications not primarily metabolized by CYP2D6, or to start at a lower dose of amitriptyline with close monitoring of therapeutic response and side effects. Consulting with a clinical pharmacogenetics expert may also be beneficial for personalized dosing strategies."	0.02411212	0.32049617	0.15809533	tensor(-0.0603)	tensor(0.4720)	tensor(0.1558)	0.7162499610338260	0.6035352359521440	0.6761597814167970	0.6497611	0.5953397	0.65662014	0.65353	0.682689	0.72874606	0.54467887	0.5654971	0.567458	0.57820326	0.5274418	0.5949565	0
aspirin	G6PD	What would be the clinical guidance for someone who is Deficient for G6PD with regards to taking aspirin? Give a 2-3 sentence summary.	No reason to avoid based on G6PD status at standard doses	"['Avoid aspirin. Take an alternate therapy.', 'Take aspirin with a reduced dose.', 'Take aspirin with an increased dose.']"	Proceed taking aspirin as normal. There is no recommendation.	"For individuals with glucose-6-phosphate dehydrogenase (G6PD) deficiency, the use of aspirin can pose risks due to the potential for triggering hemolytic anemia. Clinical guidance typically advises caution or avoidance of aspirin in these patients, especially at high doses, and recommends consulting a healthcare provider for alternative treatments and ongoing management."	-0.00930762	0.1958032	0.087433234	tensor(-0.0562)	tensor(0.3534)	tensor(0.1187)	0.632290492752739	0.5055778033639550	0.3495356277549230	0.6201598	0.5311094	0.3433225	0.6447034	0.5103309	0.2283978	0.5227352	0.49009314	0.22196458	0.53790396	0.5728912	0.3789261	0
aspirin	G6PD	What would be the clinical guidance for someone who is Indeterminate for G6PD with regards to taking aspirin? Give a 2-3 sentence summary.	"To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype."	"['Avoid aspirin. Take an alternate therapy.', 'Take aspirin with a reduced dose.', 'Take aspirin with an increased dose.']"	Proceed taking aspirin as normal. There is no recommendation.	"In individuals with an indeterminate G6PD status, there is insufficient information to predict their risk of hemolytic anemia when exposed to oxidative drugs like aspirin. Clinicians are generally advised to exercise caution, especially at high doses, and consider alternative therapies or confirm G6PD status through further testing. Monitoring for signs of hemolysis if aspirin is used is advisable."	0.117279954	0.24370396	0.17989248	tensor(-0.0817)	tensor(0.3196)	tensor(0.0898)	0.6775878600528010	0.5153192188781760	0.29399567449795300	0.53811395	0.5647862	0.1665624	0.6608478	0.52091926	0.091090694	0.6285297	0.4569429	0.089750946	0.5620806	0.5414255	0.40198952	0
aspirin	G6PD	What would be the clinical guidance for someone who is Deficient with CNSHA for G6PD with regards to taking aspirin? Give a 2-3 sentence summary.	"Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended"	"['Avoid aspirin. Take an alternate therapy.', 'Take aspirin with a reduced dose.', 'Take aspirin with an increased dose.']"	Proceed taking aspirin as normal. There is no recommendation.	"For individuals with glucose-6-phosphate dehydrogenase (G6PD) deficiency-related chronic nonspherocytic hemolytic anemia (CNSHA), the use of aspirin is generally cautioned or avoided due to the risk of hemolysis. Alternative pain or fever medications that do not induce oxidative stress, such as acetaminophen, are typically recommended to minimize the risk of hemolytic episodes. It is crucial to consult with a healthcare provider before taking any new medications."	-0.029151745	0.16168994	0.061509185	tensor(-0.1381)	tensor(0.3295)	tensor(0.0544)	0.4799124458075580	0.4929869420662440	0.4508183629622350	0.6226414	0.5794955	0.54445606	0.6236924	0.5646509	0.4783494	0.6298029	0.53574955	0.37036338	0.61464334	0.56106144	0.50539386	0
aspirin	G6PD	What would be the clinical guidance for someone who is Normal for G6PD with regards to taking aspirin? Give a 2-3 sentence summary.	No reason to avoid based on G6PD status	"['Avoid aspirin. Take an alternate therapy.', 'Take aspirin with a reduced dose.', 'Take aspirin with an increased dose.']"	Proceed taking aspirin as normal. There is no recommendation.	"For individuals with normal glucose-6-phosphate dehydrogenase (G6PD) levels, there are generally no specific restrictions regarding the use of aspirin. They can typically take aspirin at recommended dosages for various indications, such as pain relief, anti-inflammation, or cardiovascular protection, without a heightened risk of hemolysis. However, as always, it is important to follow medical advice and consider any other individual health conditions or contraindications."	-0.1084692	0.21275392	0.03341688	tensor(-0.0909)	tensor(0.3537)	tensor(0.0800)	0.6039607731042160	0.596605350996716	0.291013348601024	0.39050984	0.5499865	0.21995851	0.38372004	0.62294525	0.1263408	0.26135254	0.6058793	0.043413773	0.51390135	0.63672286	0.33837625	1
atazanavir	UGT1A1	What would be the clinical guidance for someone who is Normal Metabolizer for UGT1A1 with regards to taking atazanavir? Give a 2-3 sentence summary.	"There is no need to avoid prescribing of atazanavir based on UGT1A1 genetic test result. Inform the patient that some patients stop atazanavir because of jaundice (yellow eyes and skin), but that this patient's genotype makes this unlikely (less than about a 1 in 20 chance of stopping atazanavir because of jaundice)."	"['Avoid atazanavir. Take an alternate therapy.', 'Take atazanavir with a reduced dose.', 'Take atazanavir with an increased dose.']"	Proceed taking atazanavir as normal. There is no recommendation.	"Individuals who are normal metabolizers for UGT1A1 generally do not require dose adjustments when taking atazanavir, as they are not at increased risk for hyperbilirubinemia, a potential side effect associated with elevated bilirubin levels. However, it is still important to monitor for any adverse effects and manage them as necessary."	0.14029022	0.1511312	0.14820412	tensor(-0.0462)	tensor(0.4181)	tensor(0.1427)	0.7415028010899740	0.6099120695176450	0.6132105652246200	0.7089098	0.59613717	0.61266357	0.73190415	0.633227	0.6482699	0.64412993	0.49783123	0.48351327	0.6758449	0.5287284	0.5765461	1
atazanavir	UGT1A1	What would be the clinical guidance for someone who is Poor Metabolizer for UGT1A1 with regards to taking atazanavir? Give a 2-3 sentence summary.	"Consider an alternative agent particularly where jaundice would be of concern to the patient. If atazanavir is to be prescribed, there is a high likelihood of developing jaundice that will result in atazanavir discontinuation (at least 20% and as high as 60%)."	"['Proceed taking atazanavir as normal. There is no recommendation.', 'Take atazanavir with a reduced dose.', 'Take atazanavir with an increased dose.']"	Avoid atazanavir. Take an alternate therapy.	"For individuals who are Poor Metabolizers (PMs) of the UGT1A1 enzyme, caution is advised when prescribing atazanavir. These patients are at an increased risk of developing hyperbilirubinemia due to reduced bilirubin clearance. Clinical guidelines typically suggest considering alternative antiretroviral therapy for PMs to avoid this adverse effect."	0.15661101	0.1706796	0.1660706	tensor(-0.0167)	tensor(0.3975)	tensor(0.1472)	0.7202150602695330	0.6360129869604920	0.6241943652007610	0.6577699	0.5522228	0.52034414	0.60422444	0.5599176	0.6405023	0.58956563	0.5568671	0.5209363	0.6024082	0.60871536	0.6180625	1
atazanavir	UGT1A1	What would be the clinical guidance for someone who is Indeterminate for UGT1A1 with regards to taking atazanavir? Give a 2-3 sentence summary.	No recommendation	"['Avoid atazanavir. Take an alternate therapy.', 'Take atazanavir with a reduced dose.', 'Take atazanavir with an increased dose.']"	Proceed taking atazanavir as normal. There is no recommendation.	"For a patient who is Indeterminate for UGT1A1, there is insufficient genetic information to predict their response to atazanavir, particularly regarding the risk of hyperbilirubinemia. Clinical monitoring of bilirubin levels is recommended, and alternative antiretroviral therapies may be considered if significant bilirubin elevations occur. Close follow-up is essential to manage potential adverse effects effectively."	-0.20637059	-0.022414342	-0.119313434	tensor(0.0038)	tensor(0.4473)	tensor(0.1920)	0.2449857041333930	0.5691677199881400	0.27681807077981200	0.18507846	0.46669927	0.27900407	0.093025535	0.47929144	0.14376321	-0.04672234	0.34967527	0.14414586	0.33791277	0.5227713	0.4572534	0
atazanavir	UGT1A1	What would be the clinical guidance for someone who is Intermediate Metabolizer for UGT1A1 with regards to taking atazanavir? Give a 2-3 sentence summary.	"There is no need to avoid prescribing of atazanavir based on UGT1A1 genetic test result. Inform the patient that some patients stop atazanavir because of jaundice (yellow eyes and skin), but that this patient's genotype makes this unlikely (less than about a 1 in 20 chance of stopping atazanavir because of jaundice)."	"['Avoid atazanavir. Take an alternate therapy.', 'Take atazanavir with a reduced dose.', 'Take atazanavir with an increased dose.']"	Proceed taking atazanavir as normal. There is no recommendation.	"For individuals who are intermediate metabolizers of UGT1A1, caution is advised when prescribing atazanavir. These patients have a reduced capacity to clear bilirubin, which may increase the risk of hyperbilirubinemia when taking atazanavir. Clinical monitoring of bilirubin levels and potential dose adjustments or the consideration of alternative antiretroviral agents may be necessary based on the patient's clinical response and tolerance."	0.2181154	0.22227794	0.22249043	tensor(0.0178)	tensor(0.4232)	tensor(0.1927)	0.7832856555084730	0.5863071288560160	0.6132105652246200	0.6933851	0.50525624	0.61266357	0.7296741	0.5479209	0.6482699	0.6660112	0.45752957	0.48351327	0.674955	0.49098986	0.5765461	0
atomoxetine	CYP2D6	What would be the clinical guidance for someone who is Normal Metabolizer and activity score = 1.25 for CYP2D6 with regards to taking atomoxetine? Give a 2-3 sentence summary.	"Initiate with a dose of 40 mg/day and increase to 80 mg/day after 3 days. If no clinical response and in the absence of adverse events after 2 weeks, consider increasing dose to 100 mg/day. If no clinical response observed after 2 weeks, consider obtaining a peak plasma concentration (1 to 2 hours after dose administered). If <200 ng/mL, consider a proportional increase in dose to approach 400 ng/mL. Dosages greater than 100 mg/day may be needed to achieve target concentrations."	"['Proceed taking atomoxetine as normal. There is no recommendation.', 'Avoid atomoxetine. Take an alternate therapy.']"	Take atomoxetine with an altered dose.	"Atomoxetine metabolism is significantly influenced by CYP2D6 enzyme activity. For an individual who is a normal metabolizer with an activity score of 1.25 for CYP2D6, standard dosing guidelines for atomoxetine should be followed. This means that there is no need for dose adjustment as their metabolic capacity is within the expected normal range, ensuring effective drug concentration and response."	-0.0002743775	-0.06905864	-0.03267743	tensor(-0.0425)	tensor(0.3261)	tensor(0.1180)	0.4782824369108370	0.6187255576523820	0.4182017632778380	0.46836215	0.49440336	0.40674835	0.49923223	0.5011762	0.39670482	0.53492904	0.5443926	0.47296175	0.34812513	0.64323163	0.2939223	0
atomoxetine	CYP2D6	What would be the clinical guidance for someone who is Ultrarapid Metabolizer and activity score = ≥3.75 for CYP2D6 with regards to taking atomoxetine? Give a 2-3 sentence summary.	"Initiate with a dose of 40 mg/day and increase to 80 mg/day after 3 days. If no clinical response and in the absence of adverse events after 2 weeks, consider increasing dose to 100 mg/day. If no clinical response observed after 2 weeks, consider obtaining a peak plasma concentration (1 to 2 hours after dose administered). If <200 ng/mL, consider a proportional increase in dose to approach 400 ng/mL. Dosages greater than 100 mg/day may be needed to achieve target concentrations."	"['Proceed taking atomoxetine as normal. There is no recommendation.', 'Avoid atomoxetine. Take an alternate therapy.']"	Take atomoxetine with an altered dose.	"For a patient identified as a CYP2D6 ultrarapid metabolizer with an activity score of ≥3.75, standard doses of atomoxetine may not achieve therapeutic levels due to increased metabolism, potentially leading to reduced efficacy. Clinical guidance suggests careful monitoring of the patient's response and considering alternative treatments or dose adjustments based on therapeutic drug monitoring and clinical judgment."	-0.032203253	-0.03997804	-0.033051677	tensor(-0.0997)	tensor(0.3251)	tensor(0.0795)	0.5116925454111410	0.6404995264910880	0.4182017632778380	0.40149015	0.557227	0.40674835	0.35698733	0.5604549	0.39670482	0.43739787	0.5489216	0.47296175	0.3851436	0.67162794	0.2939223	0
