drug	genes	question	answer	incorrect_recommendations	concurring_recommendation	llm_answer	bert_score_precision_llm_vs_ref	bert_score_recall_llm_vs_ref	bert_score_f1_llm_vs_ref	bert_score_precision_llm_vs_concurring	bert_score_recall_llm_vs_concurring	bert_score_f1_llm_vs_concurring	bert_score_precision_llm_vs_discordant	bert_score_recall_llm_vs_discordant	bert_score_f1_llm_vs_discordant	oai_embedding_llm_vs_ref	oai_embedding_llm_vs_concurring	oai_embedding_llm_vs_discordant	negation_mpnet_llm_vs_ref	negation_mpnet_llm_vs_concurring	negation_mpnet_llm_vs_discordant	base_mpnet_llm_vs_ref	base_mpnet_llm_vs_concurring	base_mpnet_llm_vs_discordant	roberta_llm_vs_ref	roberta_llm_vs_concurring	roberta_llm_vs_discordant	gte_llm_vs_ref	gte_llm_vs_concurring	gte_llm_vs_discordant	gpt4_llm_vs_ref
aminosalicylic acid	G6PD	What would be the clinical guidance for someone who is Normal for G6PD with regards to taking aminosalicylic acid? Give a 2-3 sentence summary.	No reason to avoid based on G6PD status	['Avoid aminosalicylic acid. Take an alternate therapy.', 'Take aminosalicylic acid with a reduced dose.', 'Take aminosalicylic acid with an increased dose.']	Proceed taking aminosalicylic acid as normal. There is no recommendation.	For individuals who are normal for glucose-6-phosphate dehydrogenase (G6PD) enzyme activity, there are no specific pharmacogenomic considerations for taking aminosalicylic acid. Clinical guidance would focus on monitoring for the intended therapeutic effects and potential side effects of aminosalicylic acid like any other individual, without the need for genetic testing or dose adjustments based on G6PD status.	-0.15698494	0.2462105	0.012073798	-0.03903399	0.28315598	0.10385961	-0.0727807879447937	0.4133341312408447	0.09787052124738693	0.621551141295073	0.6382643777460802	0.5644230887121289	0.4756572	0.64873594	0.54964364	0.42151794	0.6601662	0.5990239	0.36315975	0.5273992	0.52675104	0.53764707	0.60363	0.5505169	1
amitriptyline	CYP2D6;CYP2C19	What would be the clinical guidance for someone who is Ultrarapid Metabolizer and activity score = ≥3.0 for CYP2D6 and Intermediate Metabolizer for CYP2C19 with regards to taking amitriptyline? Give a 2-3 sentence summary.	Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	['Proceed taking amitriptyline as normal. There is no recommendation.', 'Take amitriptyline with a reduced dose.', 'Take amitriptyline with an increased dose.']	Avoid amitriptyline. Take an alternate therapy.	For someone who is an Ultrarapid Metabolizer for CYP2D6 and an Intermediate Metabolizer for CYP2C19, taking amitriptyline may result in variable drug metabolism and potentially altered drug response. Close monitoring for efficacy and side effects of amitriptyline is recommended. Dose adjustments may be necessary based on individual response to treatment and consultation with a healthcare provider experienced in pharmacogenomics is advised.	-0.0045216745	0.20923243	0.09622561	-0.112174496	0.32132533	0.068274595	-0.1343337595462799	0.4094617962837219	0.07998202741146088	0.7129063638151315	0.6136256284840104	0.6218365427218122	0.6728996	0.58552915	0.55433726	0.64998245	0.67713314	0.66269183	0.59088343	0.550093	0.5377342	0.6275727	0.544417	0.54372084	0
amitriptyline	CYP2D6;CYP2C19	What would be the clinical guidance for someone who is Poor Metabolizer and activity score = 0.0 for CYP2D6 and Intermediate Metabolizer for CYP2C19 with regards to taking amitriptyline? Give a 2-3 sentence summary.	Avoid amitriptyline use. If a amitripyline is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	['Proceed taking amitriptyline as normal. There is no recommendation.', 'Take amitriptyline with a reduced dose.', 'Take amitriptyline with an increased dose.']	Avoid amitriptyline. Take an alternate therapy.	For a person who is a Poor Metabolizer for CYP2D6 and an Intermediate Metabolizer for CYP2C19, caution is advised when taking amitriptyline. These genetic variations may lead to altered drug metabolism, potentially leading to increased amitriptyline levels and a higher risk of adverse effects. Close monitoring for efficacy and side effects is recommended, and dosage adjustments may be necessary based on the individual's response.	0.066088155	0.25852138	0.15816097	-0.11715724	0.3058518	0.05965985	-0.12069994956254959	0.4712340533733368	0.10844529420137405	0.7020114699421066	0.6021035546855772	0.621044357653625	0.59368366	0.5145493	0.5221992	0.6462056	0.5920014	0.6172134	0.6183862	0.5588096	0.5516219	0.60414356	0.56747746	0.55138034	0
amitriptyline	CYP2D6;CYP2C19	What would be the clinical guidance for someone who is Ultrarapid Metabolizer and activity score = ≥4.0 for CYP2D6 and No Result for CYP2C19 with regards to taking amitriptyline? Give a 2-3 sentence summary.	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	['Proceed taking amitriptyline as normal. There is no recommendation.', 'Take amitriptyline with a reduced dose.', 'Take amitriptyline with an increased dose.']	Avoid amitriptyline. Take an alternate therapy.	For an individual who is an Ultrarapid Metabolizer with an activity score of ≥4.0 for CYP2D6 and has no result for CYP2C19, it is recommended to exercise caution when prescribing amitriptyline. Due to the potential for increased metabolism of amitriptyline in Ultrarapid Metabolizers, monitoring for efficacy and side effects is crucial. Dose adjustments or alternative medications may be considered based on individual response and tolerability.	0.15598099	0.19725773	0.17958115	-0.11915497	0.41911575	0.09419061	-0.14522092044353485	0.4392475187778473	0.07673264294862747	0.6381280681401721	0.5848629823786352	0.6067079131271222	0.73442996	0.54208475	0.58553493	0.64978355	0.6317484	0.65469927	0.6579692	0.5230563	0.5310406	0.6152493	0.5464931	0.5676023	0
amitriptyline	CYP2D6;CYP2C19	What would be the clinical guidance for someone who is Ultrarapid Metabolizer and activity score = 2.5 for CYP2D6 and Rapid Metabolizer for CYP2C19 with regards to taking amitriptyline? Give a 2-3 sentence summary.	Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	['Proceed taking amitriptyline as normal. There is no recommendation.', 'Take amitriptyline with a reduced dose.', 'Take amitriptyline with an increased dose.']	Avoid amitriptyline. Take an alternate therapy.	For an individual who is an Ultrarapid Metabolizer for CYP2D6 and a Rapid Metabolizer for CYP2C19, caution should be exercised when prescribing amitriptyline. These individuals may process amitriptyline more rapidly than normal, leading to potential therapeutic failure or reduced efficacy. Close monitoring for therapeutic response and potential side effects is recommended, and dose adjustments may be necessary to achieve optimal outcomes.	-0.033562403	0.18947756	0.07083745	-0.11489468	0.3197517	0.065851726	-0.14365336298942566	0.4493853449821472	0.0829729437828064	0.6979538342040031	0.5922580373745026	0.6027067155332622	0.6666449	0.5644174	0.5497781	0.66838014	0.6589601	0.6806872	0.59293073	0.56207395	0.55694985	0.59971964	0.5499252	0.5546185	0
aspirin	G6PD	What would be the clinical guidance for someone who is Deficient for G6PD with regards to taking aspirin? Give a 2-3 sentence summary.	No reason to avoid based on G6PD status at standard doses	['Avoid aspirin. Take an alternate therapy.', 'Take aspirin with a reduced dose.', 'Take aspirin with an increased dose.']	Proceed taking aspirin as normal. There is no recommendation.	Individuals deficient in glucose-6-phosphate dehydrogenase (G6PD) should avoid taking aspirin due to the potential risk of hemolysis (breakdown of red blood cells). Aspirin can trigger oxidative stress that may worsen hemolysis in individuals with G6PD deficiency. It is important for individuals with G6PD deficiency to consult with their healthcare provider before taking any medications, including aspirin.	-0.14029245	0.10620725	-0.027367234	-0.30084854	-0.10705213	-0.20995417	-0.23694448173046112	0.2341354638338089	-0.04916471615433693	0.5993374235446949	0.4510125293926142	0.473355716765321	0.5938326	0.59226745	0.56432855	0.6179776	0.5681004	0.57084215	0.49699607	0.51811457	0.53025705	0.545012	0.5821966	0.5907144	0
aspirin	G6PD	What would be the clinical guidance for someone who is Indeterminate for G6PD with regards to taking aspirin? Give a 2-3 sentence summary.	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	['Avoid aspirin. Take an alternate therapy.', 'Take aspirin with a reduced dose.', 'Take aspirin with an increased dose.']	Proceed taking aspirin as normal. There is no recommendation.	Individuals who are Indeterminate for G6PD status may have partial deficiency of the G6PD enzyme and are at risk of hemolysis if exposed to certain medications, including aspirin. Due to the potential risk of hemolysis, it is recommended to consider alternative pain relievers that do not affect G6PD activity for individuals with this genotype. Monitoring should be considered if aspirin is necessary for a specific medical condition.	0.04937124	0.2147681	0.12986608	-0.25407472	-0.1042822	-0.18074508	-0.17410390079021454	0.2641102373600006	0.0058907694183290005	0.6804073782179297	0.41046273624028995	0.4173248047422829	0.51400197	0.5620774	0.5363574	0.6163558	0.5180296	0.52969563	0.6662632	0.34741583	0.35067156	0.53913665	0.46877366	0.5041727	0
aspirin	G6PD	What would be the clinical guidance for someone who is Deficient with CNSHA for G6PD with regards to taking aspirin? Give a 2-3 sentence summary.	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	['Avoid aspirin. Take an alternate therapy.', 'Take aspirin with a reduced dose.', 'Take aspirin with an increased dose.']	Proceed taking aspirin as normal. There is no recommendation.	Individuals deficient in G6PD should avoid taking aspirin due to the risk of inducing hemolysis, which can lead to severe anemia. Aspirin can trigger oxidative stress and cause red blood cell damage in individuals with G6PD deficiency. Therefore, it is recommended for individuals with G6PD deficiency to avoid aspirin and use alternative pain relief medications under the guidance of a healthcare provider.	0.008353031	0.27013573	0.12855448	-0.27885795	-0.088439375	-0.1891203	-0.16581952571868896	0.40286701917648315	0.054235734045505524	0.3927991558615278	0.46559755633685573	0.48424396391048175	0.5650688	0.60197586	0.5541411	0.52820295	0.5887274	0.6088567	0.36847582	0.46631658	0.47735652	0.4344771	0.5521511	0.586128	0
aspirin	G6PD	What would be the clinical guidance for someone who is Normal for G6PD with regards to taking aspirin? Give a 2-3 sentence summary.	No reason to avoid based on G6PD status	['Avoid aspirin. Take an alternate therapy.', 'Take aspirin with a reduced dose.', 'Take aspirin with an increased dose.']	Proceed taking aspirin as normal. There is no recommendation.	For individuals who are normal for glucose-6-phosphate dehydrogenase (G6PD) enzyme activity, there is typically no specific contraindication to taking aspirin. However, caution should be exercised, as aspirin can potentially cause hemolysis in individuals with underlying hemolytic conditions. Monitoring for signs of hemolysis and discussing any concerns with a healthcare provider are recommended before starting aspirin therapy.	-0.1706525	0.11315463	-0.043925628	-0.2160991	0.018379565	-0.1085862	-0.1947254091501236	0.21074065566062927	-0.043354813009500504	0.6164786072644837	0.5814871682080078	0.5169034181862235	0.47743344	0.6091525	0.57733655	0.43771425	0.6331346	0.63262767	0.24173658	0.52679116	0.5231317	0.37456426	0.5543583	0.54898006	0
atazanavir	UGT1A1	What would be the clinical guidance for someone who is Normal Metabolizer for UGT1A1 with regards to taking atazanavir? Give a 2-3 sentence summary.	There is no need to avoid prescribing of atazanavir based on UGT1A1 genetic test result. Inform the patient that some patients stop atazanavir because of jaundice (yellow eyes and skin), but that this patient's genotype makes this unlikely (less than about a 1 in 20 chance of stopping atazanavir because of jaundice).	['Avoid atazanavir. Take an alternate therapy.', 'Take atazanavir with a reduced dose.', 'Take atazanavir with an increased dose.']	Proceed taking atazanavir as normal. There is no recommendation.	As a Normal Metabolizer for UGT1A1, individuals are not expected to experience significant changes in the metabolism of atazanavir, a drug metabolized by UGT1A1. Standard dosing of atazanavir can be followed in these individuals without the need for dose adjustment based on UGT1A1 genotype. Close monitoring for drug efficacy and adverse effects is recommended as per standard clinical practice.	0.14137636	0.18999034	0.16855201	-0.075601585	0.19903758	0.048850212	-0.12573310732841492	0.3514859974384308	0.06843584030866623	0.7569756176574172	0.6138056163511054	0.5881989766569403	0.73022485	0.5777595	0.54904205	0.7529146	0.62011117	0.6514369	0.6869084	0.4886299	0.5087426	0.62487036	0.550224	0.5132025	1
atazanavir	UGT1A1	What would be the clinical guidance for someone who is Poor Metabolizer for UGT1A1 with regards to taking atazanavir? Give a 2-3 sentence summary.	Consider an alternative agent particularly where jaundice would be of concern to the patient. If atazanavir is to be prescribed, there is a high likelihood of developing jaundice that will result in atazanavir discontinuation (at least 20% and as high as 60%).	['Proceed taking atazanavir as normal. There is no recommendation.', 'Take atazanavir with a reduced dose.', 'Take atazanavir with an increased dose.']	Avoid atazanavir. Take an alternate therapy.	Individuals who are Poor Metabolizers for UGT1A1 may have an increased risk of atazanavir-related toxicity, particularly hyperbilirubinemia. It is recommended to consider alternative medications or adjust the dose of atazanavir based on clinical response and monitoring of bilirubin levels in these individuals to minimize the risk of adverse effects. Close monitoring and individualized dosing strategies in consultation with a healthcare provider are crucial for safe and effective use of atazanavir in Poor Metabolizers for UGT1A1.	0.12603909	0.19400951	0.1624539	-0.11951093	0.2887868	0.052306313	-0.13850465416908264	0.3435700535774231	0.053832005709409714	0.7090643714872638	0.6207011329450867	0.6319884843843276	0.71034473	0.62433326	0.59261996	0.6692216	0.6384622	0.57230234	0.5571301	0.5070375	0.44453147	0.6439469	0.5999066	0.6429929	0
atazanavir	UGT1A1	What would be the clinical guidance for someone who is Indeterminate for UGT1A1 with regards to taking atazanavir? Give a 2-3 sentence summary.	No recommendation	['Avoid atazanavir. Take an alternate therapy.', 'Take atazanavir with a reduced dose.', 'Take atazanavir with an increased dose.']	Proceed taking atazanavir as normal. There is no recommendation.	Individuals who are Indeterminate for UGT1A1 genotype may have a higher risk of atazanavir-associated hyperbilirubinemia, a known side effect of this medication. Clinical guidance for these individuals may include monitoring for signs of liver dysfunction, such as jaundice, and adjusting the dose of atazanavir as necessary based on individual tolerance and response. Close monitoring by healthcare professionals is recommended to ensure safety and efficacy of atazanavir treatment in individuals with an Indeterminate UGT1A1 genotype.	-0.572142	-0.33846012	-0.4716495	-0.13259001	0.053042907	-0.04395789	-0.14175476133823395	0.3661819398403168	0.05315396189689636	0.22717855392128222	0.5632790309977764	0.6103855500355257	0.13054132	0.49648058	0.5313279	0.06144205	0.56312877	0.6205442	-0.049868874	0.38155413	0.47007626	0.25772622	0.48704407	0.60067856	0
atazanavir	UGT1A1	What would be the clinical guidance for someone who is Intermediate Metabolizer for UGT1A1 with regards to taking atazanavir? Give a 2-3 sentence summary.	There is no need to avoid prescribing of atazanavir based on UGT1A1 genetic test result. Inform the patient that some patients stop atazanavir because of jaundice (yellow eyes and skin), but that this patient's genotype makes this unlikely (less than about a 1 in 20 chance of stopping atazanavir because of jaundice).	['Avoid atazanavir. Take an alternate therapy.', 'Take atazanavir with a reduced dose.', 'Take atazanavir with an increased dose.']	Proceed taking atazanavir as normal. There is no recommendation.	Individuals who are Intermediate Metabolizers for UGT1A1 may have an increased risk of elevated levels of atazanavir, a medication metabolized by UGT1A1. Clinical guidance for these individuals may include starting with a lower dose of atazanavir, monitoring for potential side effects or toxicity, and adjusting the dose based on individual response and tolerability. It is important for healthcare providers to consider pharmacogenomic testing results and individualize the treatment plan accordingly.	0.104284264	0.15644783	0.13328765	-0.12661749	0.101056755	-0.02095856	-0.10126049816608429	0.46640294790267944	0.12172659486532211	0.7612029115833086	0.5503468625015968	0.6265558535192748	0.6310362	0.45896515	0.5898159	0.75037444	0.54917693	0.6042438	0.6520891	0.47132063	0.52541447	0.6089909	0.49299076	0.68261343	0
atomoxetine	CYP2D6	What would be the clinical guidance for someone who is Normal Metabolizer and activity score = 1.25 for CYP2D6 with regards to taking atomoxetine? Give a 2-3 sentence summary.	Initiate with a dose of 40 mg/day and increase to 80 mg/day after 3 days. If no clinical response and in the absence of adverse events after 2 weeks, consider increasing dose to 100 mg/day. If no clinical response observed after 2 weeks, consider obtaining a peak plasma concentration (1 to 2 hours after dose administered). If <200 ng/mL, consider a proportional increase in dose to approach 400 ng/mL. Dosages greater than 100 mg/day may be needed to achieve target concentrations.	['Proceed taking atomoxetine as normal. There is no recommendation.', 'Avoid atomoxetine. Take an alternate therapy.']	Take atomoxetine with an altered dose.	For individuals who are Normal Metabolizers with a CYP2D6 activity score of 1.25, standard dosing guidelines for atomoxetine can be followed. However, close monitoring for potential adverse effects or reduced efficacy may be warranted due to potential variations in drug metabolism. Adjustments to the dose may be necessary based on individual response and tolerability.	0.0847107	-0.026755197	0.030084085	-0.08835945	0.47774443	0.13476233	-0.11990592628717422	0.27204418182373047	0.046346839517354965	0.5363806870337207	0.6495072444477469	0.6426233438864499	0.4979951	0.5037483	0.5263508	0.49590385	0.54002494	0.69017065	0.5602736	0.54929703	0.60755336	0.40520552	0.6591421	0.6710695	0
