modelname	out_type	bert_score_precision_llm_vs_ref_mean	bert_score_precision_llm_vs_ref_std	bert_score_recall_llm_vs_ref_mean	bert_score_recall_llm_vs_ref_std	bert_score_f1_llm_vs_ref_mean	bert_score_f1_llm_vs_ref_std	oai_embedding_llm_vs_ref_mean	oai_embedding_llm_vs_ref_std	oai_embedding_llm_vs_concurring_mean	oai_embedding_llm_vs_concurring_std	oai_embedding_llm_vs_counterfactual_mean	oai_embedding_llm_vs_counterfactual_std	negation_mpnet_llm_vs_ref_mean	negation_mpnet_llm_vs_ref_std	negation_mpnet_llm_vs_concurring_mean	negation_mpnet_llm_vs_concurring_std	negation_mpnet_llm_vs_counterfactual_mean	negation_mpnet_llm_vs_counterfactual_std	base_mpnet_llm_vs_ref_mean	base_mpnet_llm_vs_ref_std	base_mpnet_llm_vs_concurring_mean	base_mpnet_llm_vs_concurring_std	base_mpnet_llm_vs_counterfactual_mean	base_mpnet_llm_vs_counterfactual_std	roberta_llm_vs_ref_mean	roberta_llm_vs_ref_std	roberta_llm_vs_concurring_mean	roberta_llm_vs_concurring_std	roberta_llm_vs_counterfactual_mean	roberta_llm_vs_counterfactual_std	gte_llm_vs_ref_mean	gte_llm_vs_ref_std	gte_llm_vs_concurring_mean	gte_llm_vs_concurring_std	gte_llm_vs_counterfactual_mean	gte_llm_vs_counterfactual_std	gpt4_llm_vs_ref_mean	gpt4_llm_vs_ref_std
gpt-4-turbo	results																							0.4221368238248175	0.20144848208962154														
gpt-4o	results																							0.4221368238248175	0.20144848208962154														
Meta-Llama-3-70B-Instruct	results																									0.49760232061703163	0.1999698545439133												
gemini-pro	results																									0.3961357513707543	0.24906119163903723												
gpt-3.5-turbo	results																									0.4895011888822384	0.20121975112185073												
gpt-4-turbo	results																									0.48643046897201947	0.2118348392660358												
gpt-4o	results																									0.5105711238343796	0.20501709456953854												
Meta-Llama-3-70B-Instruct	results																											0.5376878640632603	0.05530757009870374										
gemini-pro	results																											0.44522845153527985	0.1874526907458066										
gpt-3.5-turbo	results																											0.5295946917274938	0.05524748230569308										
gpt-4-turbo	results																											0.5164605271289537	0.06097149932829137										
gpt-4o	results																											0.5521113975182482	0.05933194002013469										
Meta-Llama-3-70B-Instruct	results																													0.400398849946472	0.1842124887951532								
gemini-pro	results																													0.400398849946472	0.1842124887951532								
gpt-3.5-turbo	results																													0.400398849946472	0.1842124887951532								
gpt-4-turbo	results																													0.400398849946472	0.1842124887951532								
gpt-4o	results																													0.400398849946472	0.1842124887951532								
Meta-Llama-3-70B-Instruct	results																															0.5431693187591241	0.11457552792271437						
gemini-pro	results																															0.4863328815815085	0.14714675098745827						
gpt-3.5-turbo	results																															0.5352842864720194	0.11840250575759169						
gpt-4-turbo	results																															0.52292236486618	0.12330016658308825						
gpt-4o	results																															0.553970786836983	0.11841011714815429						
Meta-Llama-3-70B-Instruct	results																																	0.5939851105596108	0.05208304396361295				
gemini-pro	results																																	0.5306490498783455	0.10752107930148734				
gpt-3.5-turbo	results																																	0.582580618540146	0.0562588736402319				
gpt-4-turbo	results																																	0.5655211492457421	0.06223058309123329				
gpt-4o	results																																	0.593473700973236	0.05625719122097433				
Meta-Llama-3-70B-Instruct	results																																			0.5161842668613139	0.10918623392896336		
gemini-pro	results																																			0.5161842668613139	0.10918623392896336		
gpt-3.5-turbo	results																																			0.5161842668613139	0.10918623392896336		
gpt-4-turbo	results																																			0.5161842668613139	0.10918623392896336		
gpt-4o	results																																			0.5161842668613139	0.10918623392896336		
Meta-Llama-3-70B-Instruct	results																																					0.2773722627737226	0.4482474328787931
gemini-pro	results																																					0.16058394160583941	0.3675942217160928
gpt-3.5-turbo	results																																					0.2360097323600973	0.4251457596851
gpt-4-turbo	results																																					0.40389294403892945	0.4912745278169826
gpt-4o	results																																					0.43309002433090027	0.496106734358498
